id,text,spam,scam_type,language,url_present,url_harmful
13,NADRA Alert: Your CNIC is expiring soon. Renew online at http://nadra-cnic-renewal.pk-gov.net to avoid penalty.,spam,government_impersonation,english,yes,yes
14,"Bhai, yeh business opportunity dekho. Ghar baithe 50,000 rupay kamao har mahine. Sirf 5000 rupay invest karo. WhatsApp: 0311-5555666",spam,investment_fraud,roman_urdu,no,
15,"FBR Notice: Your tax return has discrepancies. Pay Rs. 25,000 immediately or face legal action. Contact: 051-fbr-helpline.com",spam,government_impersonation,english,yes,yes
16,Your account with Bank Alfalah has been compromised. Secure it now at http://bankalfalah-secure.xyz before it is permanently blocked.,spam,bank_phishing,english,yes,yes
17,Zong sim band hone wali hai. Sim active rakhne ke liye apna CNIC number aur sim ka last 4 digit is number par bhejein: 0322-7654321,spam,SIM_verification_scam,roman_urdu,no,
18,"روزگار پروگرام: حکومت پاکستان آپ کو 25,000 روپے ماہانہ دے گی۔ فارم بھریں: http://pm-rozgar-scheme.net",spam,government_impersonation,urdu,yes,yes
19,"Islamabad se bol raha hun. Meri beti ka accident hua hai aur hospital ne 50,000 rupay advance manga hai. Please help karo. Main wapis karunga.",spam,emergency_family_scam,roman_urdu,no,
20,"MCB Bank: Dear customer, a new device tried to log in to your account. Verify at http://mcb-login-verify.com or call 0800-MCB.",spam,bank_phishing,english,yes,yes
21,آپ کا Easypaisa اکاؤنٹ بند ہو رہا ہے۔ ابھی تصدیق کریں: http://easypaisa-pk-verify.com,spam,mobile_wallet_phishing,urdu,yes,yes
22,"Earn Rs. 80,000 monthly working from home with Daraz Pakistan affiliate program. No experience needed. Register: http://daraz-jobs-pk.xyz",spam,job_fraud,english,yes,yes
23,Ufone customer: You have unused data of 10GB expiring today. Redeem now: http://ufone-freemb.net or it will be lost.,spam,telecom_phishing,english,yes,yes
24,Online job offer: Data entry work for UK company. Earn $500/week from home. Send CV to: hiring.uk.pakistan@gmail.com,spam,job_fraud,english,no,
25,Aapka Jazz number lucky draw mein select hua hai. 1 lakh rupay ka inam hasil karne ke liye apna naam aur CNIC bhejein.,spam,telecom_lottery_scam,roman_urdu,no,
26,"Dear HBL user, your account login was attempted from an unknown location. Verify your identity: http://hbl-security-verify.net",spam,bank_phishing,english,yes,yes
27,آپ کو BISP کی طرف سے خبردار کیا جاتا ہے: آپ کا اکاؤنٹ بلاک ہو گیا ہے۔ فعال کرنے کے لیے فوری رابطہ کریں: 0300-1234567,spam,BISP_government_scam,urdu,no,
28,"Pakistan Post: Your parcel #PK98234 is held at customs. Pay clearance fee of Rs.1,200 at http://pkpost-customs-fee.xyz",spam,parcel_delivery_scam,english,yes,yes
29,Investment opportunity: Double your money in 30 days. Halal investment guaranteed. Limited seats. WhatsApp 0333-1234567 now.,spam,investment_fraud,english,no,
30,Leopards Courier: Your shipment LD-4521 could not be delivered. Update delivery address: http://leopards-delivery.pk-update.net,spam,parcel_delivery_scam,english,yes,yes
31,"Bank Islami Alert: Unauthorized transaction of Rs.12,000 detected. Block immediately: http://bankislami-secure.xyz",spam,bank_phishing,english,yes,yes
32,آپ کا TCS پارسل آپ کے پتے پر نہیں پہنچ سکا۔ ڈیلیوری کی تاریخ تبدیل کریں: http://tcs-delivery-reschedule.net,spam,parcel_delivery_scam,urdu,yes,yes
33,"Meray bhai, main London mein phansa hun. Wallet chhori ho gaya. Please 20,000 rupay transfer karo. Wapas aa ker zaroor karunga.",spam,overseas_emergency_scam,roman_urdu,no,
34,Fayda uthao! SBP (State Bank of Pakistan) ka special loan scheme. No collateral. Apply: http://sbp-loan-scheme.pk-gov.net,spam,loan_scam,english,yes,yes
35,Mobilink/Jazz Alert: Your number will be deactivated in 24 hours due to bio-verification failure. Update CNIC: 0315-JAZZ-HLP,spam,SIM_verification_scam,english,no,
36,آپ نے پاکستان کا بہترین لاٹری پروگرام جیت لیا! 5 لاکھ روپے جیتنے کی مبارک ہو۔ رابطہ: 0303-9876543,spam,lottery_prize_scam,urdu,no,
37,"Scammer posing as FIA: Your IP was involved in cybercrime. Pay Rs.50,000 or face arrest. Call FIA helpline to settle: 0800-FIA.",spam,law_enforcement_impersonation,english,no,
38,Attention Telenor user: Last chance to redeem 2000 free MBs before midnight! Click: http://telenor-freemb-pk.xyz,spam,telecom_phishing,english,yes,yes
39,Apnay ghar ki WAPDA bill online check karain aur 500 rupay cashback hasil karein. Register karein: http://wapda-cashback.pk-online.xyz,spam,government_utility_scam,roman_urdu,yes,yes
40,Urgent: Your National Bank of Pakistan account has been flagged. Verify: http://nbp-online-verify.net or visit nearest branch.,spam,bank_phishing,english,yes,yes
41,"Hi, meeting scheduled for tomorrow at 10am in conference room B.",ham,none,english,no,
42,Your HBL credit card statement for the month of October is now available. Log in to HBL Internet Banking at hbl.com to view.,ham,none,english,yes,no
43,"PTCL broadband bill for October 2024: Rs. 2,400. Due date: 15 November 2024. Pay online at ptcl.com.pk",ham,none,english,yes,no
44,Telenor: You have successfully recharged Rs.200. Your balance is Rs.215.50. Validity: 30 days.,ham,none,english,no,
45,Daraz.pk: Your order #DZ-88234 has been shipped and will arrive within 2-3 business days.,ham,none,english,no,
46,آپ کا بجلی کا بل 3200 روپے ہے۔ آخری تاریخ 20 نومبر ہے۔ LESCO ویب سائٹ پر آن لائن ادائیگی کریں۔,ham,none,urdu,no,
47,Booking confirmed: Serena Hotel Islamabad. Check-in: Dec 5. Reference: SER-4521. For queries: reservations@serenahotels.com,ham,none,english,no,
48,Aaj shaam 6 baje ghar aa jaana. Khana ready hoga. Ammi,ham,none,roman_urdu,no,
49,"Jazz: Your Jazz Cash transaction of Rs.2,000 to 0300-XXXXXXX was successful. Balance: Rs.500.",ham,none,english,no,
50,"Your Easypaisa transaction of Rs.5,000 to ZAIN ALI (0311-XXXXXXX) is complete. TID: EP-921834.",ham,none,english,no,
51,Luxury apartment for sale in DHA Phase 6 Lahore. 10 marla. 3 bedrooms. Serious buyers contact: 0321-1234567,ham,none,english,no,
52,Kal university mein test hai. Notes share kar dena please.,ham,none,roman_urdu,no,
53,PEMRA: Public Notice - Frequency allocation results are now available at pemra.gov.pk,ham,none,english,yes,no
54,"Your UBL Ameen account profit for Q3: Rs. 3,450. Log in to UBL Digital for full statement.",ham,none,english,no,
55,Zong: You have used 80% of your monthly data bundle. Top up now at myzong.com.pk,ham,none,english,yes,no
56,"Meeting reminder: Board of Directors meeting on Friday, Nov 10, 2 PM. Venue: Head Office, Karachi.",ham,none,english,no,
57,آپ کی درخواست کی گئی CNIC تجدید کی درخواست موصول ہو گئی ہے۔ ریفرنس نمبر: 1234-NADRA,ham,none,urdu,no,
58,Amazon UK: Your order has been dispatched. Tracking: GB-192834. Estimated delivery: Nov 12-15.,ham,none,english,no,
59,Internship opportunity at Systems Limited Lahore. Computer Science students apply at sl.com.pk/careers,ham,none,english,yes,no
60,Eid Mubarak to you and your family! May Allah's blessings be with you.,ham,none,roman_urdu,no,
61,آپ کا HBL اکاؤنٹ بند ہونے والا ہے۔ فوری طور پر اس لنک پر جائیں: http://hbl-verify.pk-login.xyz,spam,bank_phishing,urdu,yes,yes
62,Congratulations! You've been shortlisted for a job in Saudi Arabia. Salary: SAR 5000/month. Send passport copy to hr.ksa.pk@gmail.com,spam,job_fraud,english,no,
63,Aap ki Benazir Income Support qist rok di gayi hai. Apna CNIC aur number bhejein is par: 0334-6677889,spam,BISP_government_scam,roman_urdu,no,
64,"Dubai job alert: Hotel staff required urgently. No experience needed. Salary AED 3000. Apply fee Rs.10,000. Call: 0312-3456789",spam,job_fraud,english,no,
65,آپ کا پاسپورٹ جاری ہو گیا ہے۔ ڈاؤن لوڈ کریں: http://passport-pk-download.net,spam,government_impersonation,urdu,yes,yes
66,Special offer: Earn Rs.500 per survey. Work from home. Register: http://surveys-pak-earn.com,spam,online_earning_scam,english,yes,yes
67,Ufone: CONGRATULATIONS! Your number has been chosen. Win a Honda CD-70. Call 0336-9988776 within 24 hours.,spam,telecom_lottery_scam,english,no,
68,"آپ کے بینک اکاؤنٹ سے 15,000 روپے کا غیر مجاز لین دین ہوا ہے۔ روکنے کے لیے فوری کلک کریں: http://mcb-fraud-block.xyz",spam,bank_phishing,urdu,yes,yes
69,Limited time: Get loan of Rs. 5 lakh from private lender. No bank account needed. WhatsApp: 0341-8877665,spam,loan_scam,english,no,
70,PTCL Lucky Customer: You won a free broadband connection for 1 year. Confirm: http://ptcl-free-offer.net,spam,telecom_lottery_scam,english,yes,yes
71,Mera naam Rubina hai. Main BISP worker hun. Aap ki qist ruki hui hai. 200 rupay fees de kar release karwa sakte hain.,spam,BISP_government_scam,roman_urdu,no,
72,"Bitcoin investment Pakistan: Turn Rs.10,000 into Rs.1,00,000 in 7 days. Proven results. Telegram: @cryptopak",spam,investment_fraud,english,no,
73,آپ کا SIM کارڈ بند ہو جائے گا۔ بایومیٹرک تصدیق کے لیے اپنا CNIC نمبر بھیجیں: 0312-7654321,spam,SIM_verification_scam,urdu,no,
74,Rozan Foundation is hiring social workers in KPK. Send CV to hr@rozanfoundation.org,ham,none,english,no,
75,Your Daraz.pk return request #RT-44123 has been approved. Refund will be processed in 3-5 working days.,ham,none,english,no,
76,"KESC/K-Electric bill for November: Rs.4,200. Last date: Dec 5. Pay at any bank or kelectric.com.pk",ham,none,english,yes,no
77,Aaj office late aa raha hun. Traffic mein phas gaya hun. 30 minutes ki der ho gi.,ham,none,roman_urdu,no,
78,Congratulations on completing ACCA P1 exam. Your result will be available at accaglobal.com on December 10.,ham,none,english,yes,no
79,Bata Shoes Pakistan: New winter collection is now available at all outlets and bata.com.pk,ham,none,english,yes,no
80,آپ کی گاڑی کی انشورنس کی تجدید کی تاریخ 30 نومبر ہے۔ تجدید کے لیے adamjee.com پر جائیں۔,ham,none,urdu,yes,no
81,"Salary has been credited to your Habib Metro account. Amount: Rs.85,000. Date: Nov 1, 2024.",ham,none,english,no,
82,Pakistan Medical Commission: Registration renewal deadline is December 31. Visit pmc.gov.pk,ham,none,english,yes,no
83,App update available for Jazz World app. Update now for new features and security patches.,ham,none,english,no,
84,"Lahore: Thank you for paying your WASA bill of Rs.1,800. Receipt No: WS-992341",ham,none,english,no,
85,"Test result ready. Blood group: B+, CBC: Normal. Report available at lab. Dr. Khurram Clinic",ham,none,english,no,
86,Earn dollars online: Join our MLM network. Recruit 5 friends and earn $1000/month. Training provided.,spam,MLM_pyramid_scam,english,no,
87,اپنے دوستوں کو refer کریں اور 500 روپے کمائیں۔ آج ہی join کریں: http://referearncash.pk-join.net,spam,MLM_pyramid_scam,urdu,yes,yes
88,"FIA Cybercrime Wing: Your computer was used for illegal activities. Pay fine Rs.30,000 or get arrested. Call: 051-FIA-CY.",spam,law_enforcement_impersonation,english,no,
89,"Dear winner, UNICEF Pakistan has selected you for a Rs.2,00,000 relief grant. Send CNIC to confirm: unicef.pk.grant@gmail.com",spam,charity_impersonation_scam,english,no,
90,Aap ki SIM band ho rahi hai. PTA regulations ke tehat CNIC verification zaroori hai. Abhi karein: 0311-SIM-VRFY,spam,SIM_verification_scam,roman_urdu,no,
91,آپ کے نام پر ایک نیا بینک اکاؤنٹ کھولا گیا ہے۔ اگر آپ نے نہیں کھولا تو فوراً کلک کریں: http://nbp-fraud-alert.xyz,spam,bank_phishing,urdu,yes,yes
92,"Congratulations from Mobilink Foundation! You qualify for a Rs.1,00,000 scholarship. Send academic docs to: scholarship.jazz@gmail.com",spam,educational_scam,english,no,
93,"آپ نے Amazon UK Lucky Draw جیتا! £10,000 حاصل کریں۔ اپنا نام، CNIC اور بینک تفصیلات بھیجیں۔",spam,foreign_lottery_scam,urdu,no,
94,"Loan offer: Get Rs.5,00,000 personal loan from our private finance company. Low markup. Apply now: http://private-loan-pk.net",spam,loan_scam,english,yes,yes
95,Kisi ne apni beti ki shaadi ki liye paisa manga hai. BISP se help nahi mili. Please 5000 rupay madad karen. Allah aap ko ajar de ga.,spam,charity_impersonation_scam,roman_urdu,no,
96,TCS Courier: Your parcel TCS-88712 arrived but delivery address incomplete. Update: http://tcs-track-pk.net/update,spam,parcel_delivery_scam,english,yes,yes
97,"آپ کے JazzCash اکاؤنٹ میں 25,000 روپے جمع ہوئے ہیں۔ تصدیق کریں: http://jazzcash-account-verify.xyz",spam,mobile_wallet_phishing,urdu,yes,yes
98,Roshan Digital Account holders: Special profit rate of 8%. Open now at https://www.nbp.com.pk,ham,none,english,yes,no
99,Pakistan Army Jobs 2024: Apply for civilian posts at joinpakarmy.gov.pk by December 31.,ham,none,english,yes,no
100,آج نماز جمعہ کا وقت دوپہر 1:15 بجے ہے۔ مسجد کمیٹی,ham,none,urdu,no,
101,Islamabad Electric Supply: Load shedding schedule for November. Zone-wise details at iesco.com.pk,ham,none,english,yes,no
102,SZABIST Karachi: Admission open for Spring 2025. Apply at szabist.edu.pk,ham,none,english,yes,no
103,GIFT: Your Samsung Galaxy S24 is ready to be shipped! Confirm delivery address: http://samsung-pk-free.xyz/confirm,spam,product_giveaway_scam,english,yes,yes
104,Online Quran tutor available. Female students preferred. Contact: 0300-8877665. Flexible timings.,ham,none,english,no,
105,آپ کا PCB (پاکستان کرکٹ بورڈ) میچ ٹکٹ بک ہو گئی ہے۔ تفصیلات کے لیے pcb.com.pk کا دورہ کریں۔,ham,none,urdu,yes,no
106,Please send your OTP code to verify Easypaisa account recovery. Our agent needs it to restore your wallet.,spam,OTP_theft_scam,english,no,
107,Aap ka OTP code share karein. Main Ufone helpdesk se bol raha hun. Account verify karna hai warna band ho jayega.,spam,OTP_theft_scam,roman_urdu,no,
108,آپ کا OTP کوڈ ہمارے ساتھ شیئر کریں۔ ہم HBL کسٹمر سروس سے ہیں اور آپ کا اکاؤنٹ محفوظ کر رہے ہیں۔,spam,OTP_theft_scam,urdu,no,
109,Real estate investment: Plot in Bahria Town Phase 8. Low installments. Contact: 0333-BAHRIA-PK,ham,none,english,no,
110,Your Askari Bank fixed deposit has matured. Contact your branch or call 111-000-787.,ham,none,english,no,
111,Work from home: Earn Rs. 2000 daily by liking YouTube videos and Instagram posts. Register: http://earn-pk-daily.com,spam,social_media_earning_scam,english,yes,yes
112,Ghar baithe paise kamao: Instagram aur Facebook ki posts ko like karo aur 3000 rupay roz kamao. Join: http://likeearn.pk,spam,social_media_earning_scam,roman_urdu,yes,yes
113,آن لائن کام: یوٹیوب ویڈیوز کو لائک کریں اور روزانہ 2500 روپے کمائیں۔ ابھی رجسٹر کریں: http://yt-earn-pakistan.com,spam,social_media_earning_scam,urdu,yes,yes
114,Attention: Your Askari Bank account linked to CNIC 3520X-XXXXXXX-X has been flagged for fraud. Call 0800-FRAUD.,spam,bank_phishing,english,no,
115,Apko inform kiya jata hai ke aap ka Meezan Bank account hack ho gaya hai. Fori taur par apna password change karein: http://meezanbank-resetpw.xyz,spam,bank_phishing,roman_urdu,yes,yes
116,آپ کا پاسپورٹ آفس نے آپ کی درخواست مسترد کر دی۔ مزید معلومات کے لیے یہاں کلک کریں: http://passport-appeal-pk.net,spam,government_impersonation,urdu,yes,yes
117,Sehat Sahulat Program: Aap ko 7.5 lakh rupay ka free ilaj milega. Register hone ke liye apna CNIC bhejein.,spam,government_impersonation,roman_urdu,no,
118,"FBR: You are eligible for a tax refund of Rs.18,000. Claim it here: http://fbr-tax-refund.pk-claim.xyz",spam,government_impersonation,english,yes,yes
119,آپ کو وزیراعظم یوتھ پروگرام کی طرف سے لیپ ٹاپ دیا جائے گا۔ رجسٹریشن کریں: http://pm-laptop-register.xyz,spam,government_impersonation,urdu,yes,yes
120,Pakistan Railways: Your ticket PIA-RAIL-112 is confirmed for Nov 15. Lahore to Karachi. Seat: 22A. PNR: 4421,ham,none,english,no,
121,PTCL broadband is experiencing outage in your area. Our team is working to restore service. ETA: 2 hours. -PTCL Support,ham,none,english,no,
122,"Agri loan approved from Zarai Taraqiati Bank. Amount: Rs.2,00,000. Report to branch within 7 days.",ham,none,english,no,
123,"Ahmed, tumhari order A.k textile se ship ho gayi. Tracking number: AKT-22341. 3-4 din mein pohanch jayegi.",ham,none,roman_urdu,no,
124,PIA Flight PK-301: Departure Nov 12 at 08:00. Gate: B7. Check-in closes at 06:30. Have a safe journey.,ham,none,english,no,
125,آپ کی میٹرک امتحان کی تاریخیں جاری ہو گئی ہیں۔ تفصیلات کے لیے BISE کی ویب سائٹ وزٹ کریں۔,ham,none,urdu,no,
126,Freelancing course available in Peshawar. Learn Fiverr & Upwork. Enroll: digitalpak.edu.pk,ham,none,english,yes,no
127,Aap ke bijli meter ki reading li jaa rahi hai. Darvaza khula rakhein. -PESCO,ham,none,roman_urdu,no,
128,Karachi: Road closed near Shahrae Faisal due to construction. Please use alternate route via University Road.,ham,none,english,no,
129,"Dear Subscriber, Warid has merged with Jazz. Your number has been automatically transferred. No action needed.",ham,none,english,no,
130,EOBI pensioners: Pension payment for November will be available from Nov 5. Visit your designated bank.,ham,none,english,no,
131,"Job vacancy: Female accountant required in Lahore. Salary Rs.40,000-50,000. Email CV: jobs@companyname.pk",ham,none,english,no,
132,Lucky Draw Notice: Mobilink 4G launch lucky draw. Prize: Toyota Corolla. Winner: 0311-XXXX. Claim: 0303-9988776,spam,telecom_lottery_scam,english,no,
133,Mubarak ho! Aap Telenor ki 10th anniversary draw ke winner hain. Gari lene ke liye confirm karein: 0315-1234567,spam,telecom_lottery_scam,roman_urdu,no,
134,آپ کا نمبر Zong Lucky Winner میں منتخب ہوا۔ Nokia موبائل جیتنے کے لیے فوری کال کریں: 0320-8877665,spam,telecom_lottery_scam,urdu,no,
135,Easyload bhejo please. Ghar mein emergency aa gayi hai. Ammi ki tabiyat kharab hai. Rs. 1000 kar do yaar.,spam,easyload_scam,roman_urdu,no,
136,"Hi, I'm Captain Rizwan from PAF. I need to transfer $25,000 out of Pakistan. You'll get 30% commission. Confidential please.",spam,advance_fee_fraud_419,english,no,
137,Main overseas Pakistani hun. Mujhe apne property ki sale ke liye aik trustworthy agent chahiye. 15 lakh ka hissa milega.,spam,advance_fee_fraud_419,roman_urdu,no,
138,"آپ کا نمبر PTCL کی ملین ڈالر لاٹری میں جیت گیا! $1,000,000 کے لیے آج ہی رابطہ کریں: ptcl.lucky@yahoo.com",spam,telecom_lottery_scam,urdu,no,
139,Wholesale clothing available: branded suits 50% off. WhatsApp: 0333-7777888. COD available in all Pakistan.,ham,none,roman_urdu,no,
140,"Ali, your salary slip for October is attached. Login to HRMS portal at hrms.company.pk to download payslip.",ham,none,english,yes,no
141,OGDCL hiring engineers 2024. Apply online at ogdcl.com. Last date: Nov 30.,ham,none,english,yes,no
142,"Your SSGC gas bill: Rs.3,800. Due date: Nov 25. Pay online at ssgc.com.pk or any bank.",ham,none,english,yes,no
143,Kal meeting 11 baje hai. Accounts department wale zaroor aain. Agenda bhi bheja hai.,ham,none,roman_urdu,no,
144,آج دوپہر کا کھانا گھر پر ہے۔ جلدی آ جاؤ۔ امی نے بریانی بنائی ہے۔,ham,none,urdu,no,
145,"Your Daraz seller account earnings of Rs.15,000 have been transferred to your JazzCash wallet.",ham,none,english,no,
146,URGENT: Smishing alert: We noticed your SIM was used for illegal activity. To avoid arrest call: 0311-FIA-HELP,spam,law_enforcement_impersonation,english,no,
147,"آپ کے خلاف FIA میں کیس درج ہو گیا ہے۔ بچاؤ کے لیے ابھی 50,000 روپے ادا کریں: http://fia-pk-case.net",spam,law_enforcement_impersonation,urdu,yes,yes
148,Crypto trading Pakistan: 200% profit in 2 weeks. Telegram group link: http://t.me/cryptopak_official,spam,investment_fraud,english,yes,yes
149,Aik crore rupay ki property scam expose! Invest karo iss scheme mein aur double karo apni kamai: http://inv-double-pk.com,spam,investment_fraud,roman_urdu,yes,yes
150,آپ کو سرمایہ کاری کا بہترین موقع مل رہا ہے۔ 30 دنوں میں دوگنا منافع: http://profit-invest-pk.net,spam,investment_fraud,urdu,yes,yes
151,Shadi.com: New rishta proposals received for your profile. Log in to view matches at shadi.com,ham,none,english,yes,no
152,Free eye checkup camp at Al-Shifa Eye Hospital Rawalpindi. Date: Nov 15. Timing: 9am-1pm. Bring CNIC.,ham,none,english,no,
153,"Your Careem ride to Airport is confirmed. Driver: Kamran, Toyota Corolla, ETA 10 mins. Track: careem.com",ham,none,english,yes,no
154,Rozana ghar baith ker 2000 rupay kamao YouTube videos dekh kar. Registration: http://yt-view-pk.xyz,spam,social_media_earning_scam,roman_urdu,yes,yes
155,آن لائن کاروبار شروع کریں۔ ہم آپ کو Amazon FBA پر تربیت دیں گے۔ کورس فیس: صرف 5000 روپے: http://amzfba-pk-train.com,spam,educational_scam,urdu,yes,yes
156,Phishing: Your Inbox - This message was blocked as spam. Re-enable: http://webmail-pk-login.net,spam,email_phishing,english,yes,yes
157,آپ کا ای میل اکاؤنٹ بند ہو رہا ہے۔ لاگ ان کریں: http://gmail-pk-reactivate.xyz,spam,email_phishing,urdu,yes,yes
158,Action required: Your Outlook account mailbox is full. Free up space: http://outlook-pk-storage.net,spam,email_phishing,english,yes,yes
159,"Meri company Dubai mein hai. Aap ke liye visa aur job ready hai. Sirf processing fee 15,000 rupay chahiye.",spam,job_fraud,roman_urdu,no,
160,"Job offer: Factory worker required in Malaysia. Visa + ticket provided. Processing fee: Rs.50,000 only.",spam,job_fraud,english,no,
161,"آپ کو سعودی عرب میں گھریلو ملازمت کی پیشکش ہے۔ تنخواہ 30,000 روپے ماہانہ۔ ویزا فیس: 25,000 روپے",spam,job_fraud,urdu,no,
162,"NADRA e-Sahulat: Dear citizen, your NIC bio-verification is pending. Complete at http://nadra-bioverify.pk-gov.net",spam,government_impersonation,english,yes,yes
163,آپ کا پاسپورٹ تیار ہو گیا ہے۔ لینے سے پہلے آن لائن فیس ادا کریں: http://passport-fee-pk.net,spam,government_impersonation,urdu,yes,yes
164,SIM verification notice from PTA: Your SIM does not meet biometric requirements. Verify or lose service: http://pta-sim-verify.xyz,spam,SIM_verification_scam,english,yes,yes
165,"Ufone POSTPAID: Your bill of Rs.2,800 is now due. Pay at ufone.com or any bank. Due: Nov 20.",ham,none,english,yes,no
166,KEMU Lahore: MBBS admissions 2024. Merit list available at kemu.edu.pk,ham,none,english,yes,no
167,Jazz: Your internet package of 5GB has been activated. Valid: 30 days. Enjoy browsing!,ham,none,english,no,
168,"Bhai shadi ki party mein aana mat bhoolo. 5 November ko Gulshan-e-Ravi, Lahore.",ham,none,roman_urdu,no,
169,آپ کا میڈیکل رپورٹ تیار ہے۔ لیبارٹری سے لے لیں۔ Agha Khan Hospital Karachi,ham,none,urdu,no,
170,Shan Foods: Win a trip to Maldives! Participate in our lucky draw. Buy any Shan product and SMS product code to 8888.,ham,none,english,no,
171,Urgent: Your MCB bank mobile app OTP is 834712. Never share this OTP with anyone.,ham,none,english,no,
172,PTCL DSL issue resolved in DHA Lahore. Service restored. Thank you for your patience.,ham,none,english,no,
173,Please review and sign the attached company NDA document before Monday. - HR Department,ham,none,english,no,
174,Kal sehri ka waqt 5:12 AM hai. Aur iftar 6:47 PM. Ramadan Mubarak! -Ruet-e-Hilal Committee,ham,none,roman_urdu,no,
175,NESCOM is hiring engineers and scientists. Apply at nescom.org.pk. Deadline: Dec 15.,ham,none,english,yes,no
176,Crypto scam: Double your Bitcoin in 24 hours. Send 0.01 BTC and receive 0.02 BTC back. Trust us: http://btc-double-pk.com,spam,investment_fraud,english,yes,yes
177,آپ کا بینک اکاؤنٹ ہیک ہو گیا۔ فوری طور پر اپنے ATM کارڈ کا نمبر اور پن ہمیں بھیجیں: 0333-BANK-SEC,spam,bank_phishing,urdu,no,
178,ATM card naya aaya hai. Activate karne ke liye apna 16 digit card number aur CVV is number par bhejein: 0315-ATM-ACT,spam,bank_phishing,roman_urdu,no,
179,PMT score verified. You are eligible for BISP under Ehsaas Program. To activate grant call: 0345-EHSAAS,spam,BISP_government_scam,english,no,
180,Ehsaas Kafalat program mein aap register hain. 2000 rupay ki qist lene ke liye CNIC aur number bhejein.,spam,BISP_government_scam,roman_urdu,no,
181,آپ احساس کفالت پروگرام میں رجسٹرڈ ہیں۔ قسط وصول کرنے کے لیے اپنا شناختی کارڈ اور فون نمبر بھیجیں: 0303-2233445,spam,BISP_government_scam,urdu,no,
182,Security alert: Someone tried to access your Gmail account from Lahore. Verify: http://google-verify-pk.xyz,spam,email_phishing,english,yes,yes
183,آپ کے یوٹیوب چینل کو monetize کرنے کے لیے ابھی ہمیں 3000 روپے بھیجیں اور 24 گھنٹے میں اپنا چینل monetize کریں۔,spam,online_earning_scam,urdu,no,
184,Whatsapp Gold version download karo. Extra features aur privacy ke sath. Link: http://whatsapp-gold-pk.net,spam,malware_distribution,roman_urdu,yes,yes
185,آپ کا WhatsApp بند ہو رہا ہے۔ پریمیم ورژن ابھی ڈاؤن لوڈ کریں: http://whatsapp-premium-pak.com,spam,malware_distribution,urdu,yes,yes
186,Free Netflix subscription for 1 year! Pakistan offer. Claim at: http://netflix-free-pk.xyz,spam,subscription_phishing,english,yes,yes
187,آپ کو مفت نیٹ فلکس اکاؤنٹ ملا ہے۔ یہاں کلک کریں: http://pk-netflix-free.net,spam,subscription_phishing,urdu,yes,yes
188,Naya phone mil raha hai muft. Sirf delivery charges 500 rupay dene hain. Apply: http://free-phone-pak.com,spam,product_giveaway_scam,roman_urdu,yes,yes
189,آپ نے Samsung Galaxy کا فری گفٹ حاصل کیا! ڈیلیوری کے لیے صرف 1000 روپے ادا کریں: http://samsung-gift-pk.net,spam,product_giveaway_scam,urdu,yes,yes
190,PMC NLE result 2024: Pass/Fail list at pmcexam.com.pk Check your roll number.,ham,none,english,yes,no
191,Tum ne mujhse baat karni chhod di. Ek baar call karo please. Mujhe teri zaroorat hai. Tumhari dost Sara,ham,none,roman_urdu,no,
